Actions,عملیات
Pending CEO Office Approval,در انتظار تایید دفتر مدیرعامل
Pending Security Approval,در انتظار تایید حراست
Pending Finance Approval,در انتظار تایید مدیر مالی
Pending CEO Approval,در انتظار تایید مدیرعامل
Approved,تایید شده
Rejected,رد شده
Pending Site Supervisor Approval,در انتظار تایید سرپرست کارگاه
Pending Project Manager Approval,در انتظار تایید مدیر پروژه
Pending HR Approval,در انتظار تایید منابع انسانی
Send to Support,ارسال به پشتیبانی
Send to Commercial,ارسال به بازرگانی
Send to CEO Office,ارسال به دفتر مدیرعامل
Send to Security,ارسال به حراست
Send to Finance,ارسال به مالی
Send to CEO,ارسال به مدیرعامل
Final Approve and Submit,تایید نهایی و ثبت
Reject,رد کردن
Send to Site Supervisor,ارسال به سرپرست کارگاه
Send to Project Manager,ارسال به مدیر پروژه
Send to HR,ارسال به منابع انسانی
JNZ_ROLE_Support_Supervisor,سرپرست پشتیبانی
JNZ_ROLE_Commercial_Manager,مدیر بازرگانی
JNZ_ROLE__CEO_Office,دفتر مدیرعامل
JNZ_ROLE__Security_Department,دپارتمان حراست
JNZ_ROLE_Finance_Manager,مدیر مالی
JNZ_ROLE_CEO,مدیرعامل
JNZ_ROLE_Site_Supervisor,سرپرست کارگاه
JNZ_ROLE__Project_Manager,مدیر پروژه
JNZ_ROLE__HR,منابع انسانی
System Manager,مدیر سیستم
All,همه
Open,باز
Are you sure you want to {0}?,{0}؛      آیا اطمینان دارید؟
Row for date {0} cannot have negative food counts. Please enter 0 or more.,تعداد وعده‌های غذایی در تاریخ {0} نمی‌تواند منفی باشد. لطفاً عددی بزرگتر یا مساوی صفر وارد کنید.
Start Date cannot be before today.,تاریخ شروع درخواست نمی‌تواند قبل از امروز باشد.
The selected date range overlaps with an existing request: {0},بازه زمانی انتخاب شده با درخواست موجود تداخل دارد: {0}
The selected date range overlaps with an existing request. The date is from {0} to {1} in request {2}.,بازه زمانی انتخاب شده با درخواست موجود تداخل دارد. تاریخ درخواست {2}  از {0} تا {1} می‌باشد.
After edit push button to see changes,بعد از ایجاد تغییرات برای اعمال دکمه را بفشارید
default_breakfast,صبحانه پیش‌فرض
default_lunch,ناهار پیش‌فرض
default_dinner,شام پیش‌فرض
Update Table,به‌روزرسانی جدول
